City,Latitude,Longitude,Max_Temp,Humidity,Cloudy,Wind,Country,Date
rikitea,-23.12,-134.97,75.67,85.0,100.0,15.82,PF,1592519182.0
banikoara,11.3,2.44,79.93,69.0,85.0,6.6,BJ,1592519080.0
vaini,-21.2,-175.2,75.2,78.0,20.0,12.75,TO,1592519155.0
busselton,-33.65,115.33,51.71,76.0,46.0,3.27,AU,1592519227.0
pisco,-13.7,-76.22,66.2,77.0,75.0,13.87,PE,1592518751.0
lakatoro,-16.1,167.42,80.6,74.0,75.0,8.05,VU,1592519155.0
yellowknife,62.46,-114.35,64.4,42.0,5.0,18.34,CA,1592519320.0
ushuaia,-54.8,-68.3,33.8,74.0,22.0,4.7,AR,1592519014.0
kamenka,51.32,42.77,68.0,77.0,0.0,3.0,RU,1592518795.0
mecca,21.43,39.83,89.37,24.0,97.0,5.01,SA,1592519156.0
tuktoyaktuk,69.45,-133.04,44.6,81.0,40.0,9.17,CA,1592519228.0
ribeira grande,38.52,-28.7,64.4,88.0,75.0,5.82,PT,1592519156.0
sao filipe,14.9,-24.5,80.28,63.0,0.0,13.56,CV,1592518737.0
kapaa,22.08,-159.32,80.6,78.0,90.0,19.46,US,1592519228.0
rawson,-43.3,-65.1,56.12,48.0,96.0,16.42,AR,1592519321.0
milkovo,54.72,158.62,62.94,73.0,68.0,4.18,RU,1592519228.0
kodiak,57.79,-152.41,51.8,76.0,90.0,9.17,US,1592519322.0
namatanai,-3.67,152.43,82.31,77.0,3.0,5.41,PG,1592519229.0
mae hong son,19.3,97.97,73.54,89.0,100.0,1.66,TH,1592519229.0
mareeba,-17.0,145.43,69.01,93.0,46.0,3.0,AU,1592519229.0
khatanga,71.97,102.5,52.99,57.0,66.0,11.05,RU,1592519157.0
port elizabeth,-33.92,25.57,50.0,87.0,0.0,9.4,ZA,1592519190.0
te anau,-45.42,167.72,33.66,90.0,17.0,1.66,NZ,1592519229.0
baykit,61.67,96.37,56.34,60.0,42.0,3.47,RU,1592519157.0
villa rica,33.73,-84.92,80.01,50.0,75.0,4.7,US,1592519204.0
san pedro,14.35,121.02,82.4,83.0,75.0,4.7,PH,1592519230.0
lata,40.16,-8.33,61.0,86.0,0.0,3.13,PT,1592518930.0
tymovskoye,50.85,142.66,47.07,92.0,100.0,2.26,RU,1592519230.0
itarema,-2.92,-39.92,78.89,79.0,23.0,11.34,BR,1592519098.0
tautira,-17.73,-149.15,82.4,74.0,75.0,2.24,PF,1592519230.0
butaritari,3.07,172.79,83.32,60.0,99.0,1.5,KI,1592519158.0
punta arenas,-53.15,-70.92,39.2,86.0,90.0,13.87,CL,1592519126.0
hervey bay,-25.3,152.85,62.01,94.0,10.0,11.01,AU,1592519230.0
padang,-0.95,100.35,77.49,78.0,96.0,3.38,ID,1592518783.0
naze,28.37,129.48,84.2,74.0,75.0,16.11,JP,1592518873.0
pinawa,50.15,-95.88,66.58,74.0,55.0,8.57,CA,1592519231.0
yeniseysk,58.45,92.17,55.87,88.0,100.0,3.67,RU,1592519231.0
beringovskiy,63.05,179.32,51.31,51.0,0.0,2.75,RU,1592519050.0
clyde river,70.47,-68.59,33.8,86.0,90.0,10.29,CA,1592518872.0
dubti,11.74,41.09,93.02,16.0,100.0,10.18,ET,1592519231.0
mataura,-46.19,168.86,39.0,83.0,0.0,3.0,NZ,1592519231.0
mont-de-marsan,44.0,-0.67,55.4,87.0,0.0,4.7,FR,1592519232.0
alyangula,-13.85,136.42,69.8,100.0,5.0,2.24,AU,1592519232.0
bolobo,-2.17,16.23,73.0,55.0,44.0,2.51,CD,1592519232.0
iqaluit,63.75,-68.51,41.0,60.0,75.0,17.22,CA,1592519013.0
bredasdorp,-34.53,20.04,44.6,93.0,0.0,5.08,ZA,1592519183.0
thompson,55.74,-97.86,39.2,100.0,90.0,11.41,CA,1592519325.0
barinitas,8.76,-70.41,70.81,88.0,100.0,3.65,VE,1592519232.0
bambous virieux,-20.34,57.76,71.01,83.0,75.0,13.87,MU,1592519160.0
huambo,-12.78,15.74,51.51,60.0,0.0,3.49,AO,1592519160.0
san patricio,19.22,-104.7,84.2,79.0,5.0,13.87,MX,1592518901.0
praia da vitoria,38.73,-27.07,68.0,77.0,20.0,5.17,PT,1592518839.0
ponta do sol,32.67,-17.1,69.8,73.0,20.0,8.05,PT,1592519016.0
tofield,53.37,-112.67,64.99,41.0,94.0,4.0,CA,1592519233.0
albany,42.6,-73.97,87.01,52.0,56.0,1.01,US,1592519161.0
narrabri,-30.32,149.78,51.01,87.0,15.0,4.9,AU,1592519161.0
omsukchan,62.53,155.8,67.12,39.0,97.0,3.24,RU,1592518770.0
kaitangata,-46.28,169.85,46.99,63.0,16.0,1.99,NZ,1592519233.0
saldanha,-33.01,17.94,53.6,66.0,0.0,4.7,ZA,1592518860.0
myitkyina,25.38,97.4,75.36,97.0,100.0,0.78,MM,1592519007.0
novokayakent,42.39,47.99,66.2,82.0,38.0,8.95,RU,1592519234.0
hermanus,-34.42,19.23,61.68,50.0,0.0,9.26,ZA,1592519022.0
broome,42.25,-75.83,69.01,93.0,90.0,9.17,US,1592519030.0
santiago del estero,-27.8,-64.26,63.32,43.0,8.0,5.19,AR,1592519234.0
komsomolskiy,40.43,71.72,68.0,45.0,41.0,6.93,UZ,1592519006.0
saint-augustin,51.23,-58.65,57.43,96.0,100.0,4.0,CA,1592519327.0
lagos,6.58,3.75,73.4,100.0,20.0,2.24,NG,1592519037.0
diamantino,-14.41,-56.45,77.38,55.0,56.0,3.69,BR,1592519234.0
saint-joseph,-21.37,55.62,69.8,77.0,75.0,23.04,RE,1592519056.0
almaznyy,48.04,40.05,64.4,77.0,100.0,2.24,RU,1592519235.0
georgetown,5.41,100.34,80.6,88.0,20.0,3.36,MY,1592519024.0
chokurdakh,70.63,147.92,78.93,34.0,68.0,5.17,RU,1592519045.0
cape town,-33.93,18.42,60.8,44.0,0.0,3.36,ZA,1592519225.0
barrow,71.29,-156.79,46.4,65.0,1.0,8.05,US,1592519235.0
saint george,37.1,-113.58,89.6,9.0,1.0,10.29,US,1592518627.0
cabo san lucas,22.89,-109.91,95.0,21.0,5.0,10.29,MX,1592519124.0
talikota,16.48,76.32,76.46,77.0,100.0,15.32,IN,1592519236.0
vardo,70.37,31.11,46.4,65.0,75.0,17.22,NO,1592518865.0
sibolga,1.74,98.78,76.03,74.0,57.0,3.74,ID,1592519164.0
udala,43.08,-2.51,59.0,82.0,75.0,4.7,ES,1592519236.0
muscat,23.61,58.59,91.4,70.0,0.0,3.36,OM,1592519236.0
basco,20.45,121.97,84.61,82.0,8.0,15.97,PH,1592519164.0
atuona,-9.8,-139.03,80.24,75.0,13.0,11.88,PF,1592519329.0
bay roberts,47.6,-53.26,64.99,68.0,100.0,3.0,CA,1592519236.0
hilo,19.73,-155.09,84.2,58.0,75.0,10.29,US,1592519165.0
visby,57.64,18.3,61.0,87.0,0.0,8.05,SE,1592519165.0
waingapu,-9.66,120.26,75.43,84.0,5.0,11.12,ID,1592519237.0
hasaki,35.73,140.83,66.0,100.0,75.0,6.93,JP,1592518815.0
mirnyy,62.54,113.96,59.0,67.0,100.0,2.15,RU,1592519237.0
cherskiy,68.75,161.3,74.16,30.0,0.0,8.41,RU,1592519237.0
gazojak,41.19,61.4,75.04,18.0,6.0,4.79,TM,1592519238.0
fortuna,40.6,-124.16,68.0,68.0,20.0,12.75,US,1592519238.0
hobart,-42.88,147.33,39.2,93.0,75.0,5.82,AU,1592518954.0
jamestown,42.1,-79.24,80.6,39.0,20.0,9.17,US,1592518955.0
vigrestad,58.57,5.7,64.0,93.0,40.0,3.36,NO,1592519238.0
kasongo-lunda,-6.47,16.82,66.69,39.0,60.0,1.61,CD,1592519238.0
new norfolk,-42.78,147.06,39.0,87.0,100.0,2.17,AU,1592518944.0
nikolskoye,59.7,30.79,66.2,77.0,75.0,2.24,RU,1592519238.0
torbay,47.67,-52.73,66.99,68.0,90.0,13.87,CA,1592519023.0
cidreira,-30.18,-50.21,68.34,88.0,87.0,8.9,BR,1592519013.0
aklavik,68.22,-135.01,60.8,67.0,40.0,5.82,CA,1592518804.0
sao joao da barra,-21.64,-41.05,71.6,78.0,42.0,9.17,BR,1592519167.0
tasiilaq,65.61,-37.64,42.8,75.0,100.0,47.2,GL,1592518821.0
carnarvon,-24.87,113.63,53.6,81.0,0.0,6.93,AU,1592519239.0
wadi maliz,36.47,8.55,77.0,41.0,20.0,3.36,TN,1592519239.0
lumeje,-11.55,20.78,54.61,57.0,0.0,5.19,AO,1592519239.0
